pin,address,lat,lon
16051080140000,1135 N HARVEY AVE,41.90709917,-87.78238314
16051080150000,1133 N HARVEY AVE,41.90697572,-87.78235777
16051080160000,1129 N HARVEY AVE,41.90686535,-87.78235872
16051080170000,1125 N HARVEY AVE,41.90676794,-87.78235956
16051080180000,1121 N HARVEY AVE,41.90664466,-87.78236943
16051080190000,1119 N HARVEY AVE,41.90654729,-87.78237908
16051080200000,1117 N HARVEY AVE,41.90643024,-87.78233662
16051080210000,1115 N HARVEY AVE,41.90633964,-87.78235502
16051080220000,1111 N HARVEY AVE,41.90623583,-87.78237294
16051080230000,1107 N HARVEY AVE,41.90614473,-87.78233908
16051080240000,1105 N HARVEY AVE,41.90605375,-87.78233105
16051080250000,1101 N HARVEY AVE,41.90594987,-87.78233194
16051090010000,221 LE MOYNE PKWY,41.90712266,-87.78188013
16051090020000,217 LE MOYNE PKWY,41.90711543,-87.78172396
16051090030000,215 LE MOYNE PKWY,41.90712133,-87.78160234
16051090040000,213 LE MOYNE PKWY,41.90712083,-87.7814978
16051090050000,209 LE MOYNE PKWY,41.90712016,-87.78135861
16051090060000,207 LE MOYNE PKWY,41.90712609,-87.7812458
16051090070000,205 LE MOYNE PKWY,41.90711886,-87.78108904
16051090080000,201 LE MOYNE PKWY,41.9071118,-87.78096753
16051090090000,1126 N HARVEY AVE,41.90685296,-87.78173124
16051090100000,1124 N HARVEY AVE,41.90677498,-87.78173191
16051090110000,1122 N HARVEY AVE,41.90669716,-87.78171496
16051090120000,1120 N HARVEY AVE,41.90660623,-87.78171574
16051090130000,1118 N HARVEY AVE,41.90652181,-87.78172528
16051090140000,1116 N HARVEY AVE,41.90644404,-87.78171714
16051090150000,1112 N HARVEY AVE,41.90636606,-87.78171781
16051090160000,1110 N HARVEY AVE,41.90628161,-87.78171854
16051090170000,1108 N HARVEY AVE,41.90620388,-87.78171921
16051090180000,1106 N HARVEY AVE,41.90610642,-87.78171124
16051090190000,1104 N HARVEY AVE,41.9060414,-87.78171179
16051090200000,1100 N HARVEY AVE,41.90594399,-87.78171263
