building_id,address,district,zone,unit_type,bucket,units,n_pins,classes,units_source,yrblt,yr_source,excluded,exclude_reason,yr_predecessor,lat,lon
16173300370000,6026 ROOSEVELT RD,Rest of Oak Park,RR,small_mf,small_mf,2.0,1,212,char_apts,1966.0,char_yrblt,False,,,41.865712463819555,-87.77555442147916
16173300380000,1167 S HUMPHREY AVE,Rest of Oak Park,R-4,small_mf,small_mf,3.0,1,211,char_apts,1913.0,char_yrblt,False,,,41.86652058969021,-87.77575321476431
16173310150000,1028 S AUSTIN BLVD 1,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1913.0,char_yrblt,False,,,41.86691552400362,-87.77455627996659
16173310160000,1032 S AUSTIN BLVD,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1914.0,char_yrblt,False,,,41.86679555054592,-87.77455170830217
16173310190000,1106 S AUSTIN BLVD,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1900.0,char_yrblt,False,,,41.86652118331766,-87.77454126369443
16173310200000,1108 S AUSTIN BLVD,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1929.0,char_yrblt,False,,,41.86645264674014,-87.77453865102243
16173310210000,1110 S AUSTIN BLVD,Rest of Oak Park,R-7,small_mf,small_mf,4.0,1,211,char_apts,1918.0,char_yrblt,False,,,41.86638079168593,-87.7745359090062
16173310220000,1114 S AUSTIN BLVD,Rest of Oak Park,R-7,small_mf,small_mf,4.0,1,211,char_apts,1924.0,char_yrblt,False,,,41.86624689890404,-87.77453080322113
16173310230000,1180 S HUMPHREY AVE,Rest of Oak Park,R-4,large_mf,large_mf,30.999999999999996,3,315|390,commval_2023,1929.0,commval,False,,,41.86603425112655,-87.7750340436755
1617331037,1024 S AUSTIN BLVD,Rest of Oak Park,R-7,condo,large_mf,12.0,12,299,class_rule,1933.0,condo_chars,False,,,41.86714814549536,-87.77456517161797
16181000010000,1147 MADISON ST,Rest of Oak Park,MS,small_mf,small_mf,2.0,1,212,char_apts,1923.0,char_yrblt,False,,,41.87932920797882,-87.8045467075999
16181020010000,1049 MADISON ST,Rest of Oak Park,MS,large_mf,large_mf,21.0,1,318,commval_2023,1925.0,commval,False,,,41.879369849116166,-87.80208477063701
16181020240000,1035 MADISON ST,Rest of Oak Park,MS,large_mf,large_mf,89.0,1,397,estimate_av/class,,unknown,False,,,41.87937791070844,-87.80159722176151
16181030050000,1011 MADISON ST,Rest of Oak Park,MS,small_mf,small_mf,4.0,1,212,char_apts,1913.0,char_yrblt,False,,,41.8793972582917,-87.80042491880101
16181030060000,1007 MADISON ST,Rest of Oak Park,MS,small_mf,small_mf,4.0,1,212,char_apts,1918.0,char_yrblt,False,,,41.87939944407307,-87.80029274316824
