pin,year,class,char_yrblt
16051020210000,2020,205,1918.0
16051020210000,2021,205,1920.0
16051020210000,2022,205,1920.0
16051020210000,2023,205,1920.0
16051020210000,2024,205,1920.0
16051020210000,2025,205,1920.0
16051020210000,2026,205,1920.0
16051020220000,2020,204,1923.0
16051020220000,2021,204,1925.0
16051020220000,2022,204,1925.0
16051020220000,2023,204,1925.0
16051020220000,2024,204,1925.0
16051020220000,2025,204,1925.0
16051020220000,2026,204,1925.0
16051020230000,2020,203,1923.0
16051020230000,2021,203,1923.0
16051020230000,2022,203,1923.0
16051020230000,2023,203,1923.0
16051020230000,2024,203,1923.0
16051020230000,2025,203,1923.0
16051020230000,2026,203,1923.0
16051020240000,2020,204,1925.0
16051020240000,2021,204,1926.0
16051020240000,2022,204,1926.0
16051020240000,2023,204,1926.0
16051020240000,2024,204,1926.0
16051020240000,2025,204,1926.0
16051020240000,2026,204,1926.0
16051020250000,2020,204,1923.0
16051020250000,2021,204,1924.0
16051020250000,2022,204,1924.0
16051020250000,2023,204,1924.0
16051020250000,2024,204,1924.0
16051020250000,2025,204,1924.0
16051020250000,2026,204,1924.0
16051020260000,2020,203,1924.0
16051020260000,2021,203,1924.0
16051020260000,2022,203,1924.0
16051020260000,2023,203,1924.0
16051020260000,2024,203,1924.0
16051020260000,2025,203,1924.0
16051020260000,2026,203,1924.0
16051020270000,2020,203,1925.0
16051020270000,2021,203,1925.0
16051020270000,2022,203,1925.0
16051020270000,2023,203,1925.0
16051020270000,2024,203,1925.0
16051020270000,2025,203,1925.0
16051020270000,2026,203,1925.0
16051020280000,2020,203,1926.0
16051020280000,2021,203,1927.0
16051020280000,2022,203,1927.0
16051020280000,2023,203,1927.0
16051020280000,2024,203,1927.0
16051020280000,2025,203,1927.0
16051020280000,2026,203,1927.0
16051020290000,2020,204,1925.0
16051020290000,2021,204,1927.0
16051020290000,2022,204,1925.0
16051020290000,2023,204,1925.0
16051020290000,2024,204,1925.0
16051020290000,2025,204,1925.0
16051020290000,2026,204,1925.0
16051020300000,2020,204,1924.0
16051020300000,2021,204,1924.0
16051020300000,2022,204,1924.0
16051020300000,2023,204,1924.0
16051020300000,2024,204,1924.0
16051020300000,2025,204,1924.0
16051020300000,2026,204,1924.0
16051020310000,2020,204,1926.0
16051020310000,2021,204,1926.0
16051020310000,2022,204,1926.0
16051020310000,2023,204,1926.0
16051020310000,2024,204,1926.0
16051020310000,2025,204,1926.0
16051020310000,2026,204,1926.0
16051020320000,2020,530,
16051020320000,2021,530,
16051020320000,2022,530,
16051020320000,2023,530,
16051020320000,2024,517,
16051020320000,2025,517,
16051020320000,2026,517,
16051030010000,2020,318,
16051030010000,2021,318,
16051030010000,2022,318,
16051030010000,2023,318,
16051030010000,2024,318,
16051030010000,2025,318,
16051030010000,2026,318,
16051030020000,2020,517,
16051030020000,2021,517,
16051030020000,2022,517,
16051030020000,2023,517,
16051030020000,2024,517,
16051030020000,2025,517,
16051030020000,2026,517,
16051030080000,2020,205,1923.0
16051030080000,2021,205,1923.0
16051030080000,2022,205,1923.0
16051030080000,2023,205,1923.0
16051030080000,2024,205,1923.0
