building_id,units,n_pins,bucket,unit_type,lat,lon,address,classes
16182160220000,1.0,1,sf,sf_detached,41.87573580687415,-87.79324693271323,709 S EUCLID AVE,204
16182160230000,1.0,1,sf,sf_detached,41.87559865412828,-87.79324221162715,711 S EUCLID AVE,205
16182160240000,1.0,1,sf,sf_detached,41.87552604399866,-87.79323971327568,715 S EUCLID AVE,203
16182160250000,1.0,1,sf,sf_detached,41.87539291115566,-87.79323505798403,717 S EUCLID AVE,203
16182160260000,1.0,1,sf,sf_detached,41.87532030102775,-87.79323255937872,721 S EUCLID AVE,205
16182160270000,1.0,1,sf,sf_detached,41.87518716807109,-87.79322797808575,725 S EUCLID AVE,205
16182160280000,1.0,1,sf,sf_detached,41.87511455822769,-87.79322544258798,727 S EUCLID AVE,205
16182160290000,1.0,1,sf,sf_detached,41.87498142553072,-87.79322082394711,731 S EUCLID AVE,203
16182160300000,1.0,1,sf,sf_detached,41.874908815420255,-87.7932183253933,733 S EUCLID AVE,205
16182160310000,1.0,1,sf,sf_detached,41.8747756547988,-87.79321372448368,737 S EUCLID AVE,205
16182160320000,1.0,1,sf,sf_detached,41.87470310006451,-87.79321119275258,739 S EUCLID AVE,206
16182160330000,1.0,1,sf,sf_detached,41.874634509555165,-87.7932088121859,741 S EUCLID AVE,206
16182160340000,1.0,1,sf,sf_detached,41.87456591966785,-87.79320645214062,743 S EUCLID AVE,204
16182160350000,4.0,1,small_mf,small_mf,41.87443234803072,-87.79320183704183,745 S EUCLID AVE,211
16182170010000,1.0,1,sf,sf_detached,41.87598279541227,-87.79255112091809,700 S EUCLID AVE,204
16182170020000,1.0,1,sf,sf_detached,41.87584632932011,-87.79254643295127,704 S EUCLID AVE,204
16182170030000,1.0,1,sf,sf_detached,41.87570920402285,-87.79254171485951,708 S EUCLID AVE,205
16182170040000,1.0,1,sf,sf_detached,41.87557199617105,-87.792536975815,712 S EUCLID AVE,206
