pin,class,nbhd,mailed_bldg,mailed_land,mailed_tot,ap_lat,ap_lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,n_cards,lat,lon,coord_source,arcgis_name,parceltype
16061130320000,211,27010,59200,10800,70000,41.90507564,-87.80518827,1345 N HARLEM AVE,Three,3762.0,6000.0,1955.0,Multi-Family,1.0,41.90506428991051,-87.80518359778402,arcgis_pin14,16061130320000,BaseParcel
16061130351001,299,27010,12917,1583,14500,,,1339 N HARLEM AVE 1,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351002,299,27010,11957,1465,13422,,,1339 N HARLEM AVE 2,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351003,299,27010,11957,1465,13422,,,1339 N HARLEM AVE 3,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351004,299,27010,11957,1465,13422,,,1339 N HARLEM AVE 4,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351005,299,27010,12917,1583,14500,,,1339 N HARLEM AVE 5,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351006,299,27010,12917,1583,14500,,,1339 N HARLEM AVE 6,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351007,299,27010,11957,1465,13422,,,1339 N HARLEM AVE 7,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351008,299,27010,11957,1465,13422,,,1339 N HARLEM AVE 8,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351009,299,27010,11957,1465,13422,,,1339 N HARLEM AVE 9,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130351010,299,27010,12917,1583,14500,,,1339 N HARLEM AVE 10,,,,,,,41.90476656776136,-87.80517280375,arcgis_pin10,16061130350000,CondominiumParcel
16061130361001,299,27010,10304,2110,12414,,,1309 N HARLEM AVE 1F,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361002,299,27010,10304,2110,12414,,,1309 N HARLEM AVE 2F,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361003,299,27010,10153,2079,12232,,,1309 N HARLEM AVE 1C,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361004,299,27010,10153,2079,12232,,,1309 N HARLEM AVE 2C,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361005,299,27010,12696,2599,15295,,,1309 N HARLEM AVE 2R,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361007,299,27010,10304,2110,12414,,,1311 N HARLEM AVE 1F,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361008,299,27010,10304,2110,12414,,,1311 N HARLEM AVE 2F,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361009,299,27010,10153,2079,12232,,,1311 N HARLEM AVE 1C,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361010,299,27010,10153,2079,12232,,,1311 N HARLEM AVE 2C,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361011,299,27010,12696,2599,15295,,,1311 N HARLEM AVE 2R,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361012,299,27010,1277,262,1539,,,1311 N HARLEM AVE 1,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361013,299,27010,1295,265,1560,,,1311 N HARLEM AVE 2,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361014,299,27010,1297,265,1562,,,1309 N HARLEM AVE 3,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361015,299,27010,1195,245,1440,,,1309 N HARLEM AVE 4,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361016,299,27010,1202,246,1448,,,1309 N HARLEM AVE 5,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361017,299,27010,1300,266,1566,,,1309 N HARLEM AVE 6,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361018,299,27010,1300,266,1566,,,1309 N HARLEM AVE 7,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130361019,299,27010,1287,264,1551,,,1309 N HARLEM AVE 8,,,,,,,41.90400538502638,-87.80514521189166,arcgis_pin10,16061130360000,CondominiumParcel
16061130371004,299,27010,9546,1154,10700,,,1301 N HARLEM AVE 4,,,,,,,41.90352961885857,-87.80512798242376,arcgis_pin10,16061130371011,CondominiumParcel
16061130371007,299,27010,9546,1154,10700,,,1301 N HARLEM AVE 7,,,,,,,41.90352961885857,-87.80512798242376,arcgis_pin10,16061130371011,CondominiumParcel
16061130371008,299,27010,9546,1154,10700,,,1301 N HARLEM AVE 8,,,,,,,41.90352961885857,-87.80512798242376,arcgis_pin10,16061130371011,CondominiumParcel
16061130371009,299,27010,9546,1154,10700,,,1301 N HARLEM AVE 9,,,,,,,41.90352961885857,-87.80512798242376,arcgis_pin10,16061130371011,CondominiumParcel
16061130371011,299,27010,12824,1550,14374,41.90352756,-87.80509924,1301 N HARLEM AVE 1,,,,,,,41.90352961885857,-87.80512798242376,arcgis_pin14,16061130371011,CondominiumParcel
16061130371012,299,27010,9852,1191,11043,,,1301 N HARLEM AVE 2,,,,,,,41.90352961885857,-87.80512798242376,arcgis_pin10,16061130371011,CondominiumParcel
16061130371013,299,27010,9852,1191,11043,,,1301 N HARLEM AVE 3,,,,,,,41.90352961885857,-87.80512798242376,arcgis_pin10,16061130371011,CondominiumParcel
