pin,class,nbhd,mailed_tot,lat,lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,pin_num_cards
16071120161008,299,27020,14869,,,"211 N MARION ST 2C",,,,,,
16071120161009,299,27020,14869,,,"211 N MARION ST 3C",,,,,,
16071120161010,299,27020,18693,,,"211 N MARION ST 1D",,,,,,
16071120161011,299,27020,18693,,,"211 N MARION ST 2D",,,,,,
16071120161012,299,27020,18693,,,"211 N MARION ST 3D",,,,,,
16071120161013,299,27020,11471,,,"211 N MARION ST G",,,,,,
16071120161014,299,27020,850,,,"211 N MARION ST P",,,,,,
16071130010000,211,27070,60000,41.89116115,-87.80248087,"212 N MARION ST",Two,2190,2010,1914,Multi-Family,1
16071130020000,211,27070,55000,41.89107706,-87.8024675,"210 N MARION ST",Two,2190,2010,1915,Multi-Family,1
16071130030000,211,27070,59000,41.89098783,-87.80247878,"208 N MARION ST",Three,2190,2345,1913,Multi-Family,1
16071130040000,211,27070,54000,41.89089588,-87.802469,"206 N MARION ST",Two,2190,2345,1913,Multi-Family,1
16071130050000,211,27070,61000,41.89080391,-87.80245569,"202 N MARION ST",Two,2190,1809,1913,Multi-Family,1
16071130060000,211,27070,54000,41.89071989,-87.8024599,"200 N MARION ST",Two,2190,1775,1914,Multi-Family,1
16071130090000,EX,27070,0,,,"1036 ONTARIO ST",,,,,,
16071130101001,299,27070,21130,,,"1044 ONTARIO ST 1A",,,,,,
16071130101002,299,27070,21130,,,"1044 ONTARIO ST 1B",,,,,,
16071130101003,299,27070,21130,,,"1044 ONTARIO ST 1C",,,,,,
16071130101004,299,27070,21130,,,"1044 ONTARIO ST 1D",,,,,,
16071130101005,299,27070,21130,,,"1044 ONTARIO ST 2A",,,,,,
16071130101006,299,27070,21130,,,"1044 ONTARIO ST 2B",,,,,,
16071130101007,299,27070,21130,,,"1044 ONTARIO ST 2C",,,,,,
16071130101008,299,27070,21130,,,"1044 ONTARIO ST 2D",,,,,,
16071130101009,299,27070,19231,,,"1044 ONTARIO ST 2E",,,,,,
16071130101010,299,27070,21130,,,"1040 ONTARIO ST 2F",,,,,,
16071130101011,299,27070,19231,,,"1040 ONTARIO ST 2G",,,,,,
16071130101012,299,27070,21130,,,"1040 ONTARIO ST 2N",,,,,,
16071130101013,299,27070,21130,,,"1040 ONTARIO ST 2I",,,,,,
16071130101014,299,27070,21130,,,"1040 ONTARIO ST 2J",,,,,,
16071130101015,299,27070,21130,,,"1040 ONTARIO ST 2K",,,,,,
16071130101016,299,27070,21130,,,"1040 ONTARIO ST 3C",,,,,,
16071130101017,299,27070,21130,,,"1040 ONTARIO ST 3D",,,,,,
16071130101018,299,27070,19231,,,"1044 ONTARIO ST 3E",,,,,,
16071130101019,299,27070,21130,,,"1040 ONTARIO ST 3F",,,,,,
16071130101020,299,27070,19231,,,"1040 ONTARIO ST 3G",,,,,,
16071130101021,299,27070,21130,,,"1040 ONTARIO ST 3H",,,,,,
16071130101022,299,27070,21130,,,"1040 ONTARIO ST 3I",,,,,,
16071130101023,299,27070,21130,,,"1040 ONTARIO ST 3J",,,,,,
16071130101024,299,27070,21130,,,"1040 ONTARIO ST 3K",,,,,,
16071140010000,204,27070,79000,41.89166584,-87.80185684,"1033 ERIE ST",None,2298,5030,1928,Single-Family,1
16071140020000,203,27070,48000,41.89143879,-87.80185935,"224 N MARION CT",None,1112,2500,1889,Single-Family,1
16071140030000,204,27070,58000,41.8913144,-87.8018642,"218 N MARION CT",None,1884,2000,1883,Single-Family,1
16071140040000,206,27070,155000,41.89165184,-87.80166705,"1025 ERIE ST",None,4863,9642,1878,Single-Family,1
16071140050000,206,27070,140000,41.89162492,-87.80152031,"1023 ERIE ST",None,3651,9642,1888,Single-Family,1
16071140060000,205,27070,87000,41.89164193,-87.80132267,"1019 ERIE ST",None,2098,9642,1883,Single-Family,1
16071140100000,205,27070,89000,41.89094102,-87.80149365,"1024 ONTARIO ST",None,1756,9500,1883,Single-Family,1
16071140110000,203,27070,72000,41.89087519,-87.80128942,"1022 ONTARIO ST",None,1585,9500,1864,Single-Family,1
16071140120000,205,27070,66000,41.89180396,-87.80108944,"1013 ERIE ST",None,1983,2500,1889,Single-Family,1
16071140130000,206,27070,91000,41.89175246,-87.80066566,"231 FOREST AVE",None,2204,7250,1874,Single-Family,1
16071140140000,206,27070,159000,41.89162984,-87.80069568,"227 FOREST AVE",None,5283,9750,1882,Single-Family,2
16071140150000,206,27070,126000,41.891488,-87.80068631,"223 FOREST AVE",None,4206,9750,1912,Single-Family,2
16071140160000,206,27070,106000,41.8913461,-87.80066638,"219 FOREST AVE",None,2751,9750,1883,Single-Family,1
16071140170000,206,27070,149000,41.89120688,-87.80065699,"215 FOREST AVE",None,4560,12675,2012,Single-Family,2
16071140180000,206,27070,154218,41.89103612,-87.8006979,"209 FOREST AVE",None,4509,14625,1894,Single-Family,1
16071140190000,206,27070,130000,41.89083891,-87.80063549,"203 FOREST AVE",None,3731,11700,1891,Single-Family,1
16071140200000,206,27070,110000,41.89092676,-87.80182361,"1032 ONTARIO ST",None,2759,12730,1897,Single-Family,1
16071140210000,211,27070,74000,41.89088124,-87.80162778,"1028 ONTARIO ST 1",Two,2662,6270,1908,Multi-Family,1
16071150050000,206,27070,122000,41.89182213,-87.79916224,"4 ELIZABETH CT",None,3210,9310,1889,Single-Family,1
16071150070000,209,27070,103532,41.8911541,-87.79982285,"228 FOREST AVE",None,7830,24750,2024,Single-Family,2
16071150080000,206,27070,135000,41.89096626,-87.79982916,"222 FOREST AVE",None,3708,18810,1885,Single-Family,1
16071150090000,241,27070,9801,,,"218 FOREST AVE",,,,,,
16071150100000,206,27070,155384,41.89077281,-87.79985211,"216 FOREST AVE",None,4623,16500,1878,Single-Family,1
16071150110000,206,27070,139000,41.89056886,-87.79994703,"210 FOREST AVE",None,3808,13861,1902,Single-Family,1
16071150120000,210,27070,42809,41.89042703,-87.79999626,"206 FOREST AVE",None,3207,3009,1878,Single-Family,1
16071150130000,210,27070,72000,41.89034564,-87.80000046,"204 FOREST AVE",None,2032,2567,1880,Single-Family,1
16071150140000,210,27070,71000,41.89028525,-87.80000096,"202 FOREST AVE",None,2104,2567,1878,Single-Family,1
16071150150000,210,27070,70000,41.89023235,-87.79999757,"200 FOREST AVE",Two,2470,2894,1878,Multi-Family,1
16071150160000,211,27070,70000,41.89033518,-87.79964344,"942 ONTARIO ST",Two,2795,4861,1888,Multi-Family,1
16071150200000,206,27070,63814,41.89171118,-87.79891643,"6 ELIZABETH CT",None,2793,6340,1913,Single-Family,1
16071150210000,206,27070,105000,41.89164214,-87.79875172,"8 ELIZABETH CT",None,3140,6250,1898,Single-Family,1
16071150220000,206,27070,111000,41.89167014,-87.79856157,"10 ELIZABETH CT",None,3210,6250,1898,Single-Family,1
16071150330000,201,27070,21229,,,"8 N KENILWORTH AVE REAR",,,,,,
16071150340000,206,27070,129000,41.89142294,-87.79807435,"231 N KENILWORTH AVE",None,3754,13000,1904,Single-Family,1
16071150350000,203,27070,54000,41.89161826,-87.798387,"12 ELIZABETH CT",None,1175,6250,1933,Single-Family,1
16071150360000,206,27070,149000,41.89172031,-87.7980577,"245 N KENILWORTH AVE",None,4465,11250,1888,Single-Family,1
16071150370000,203,27070,55000,41.89153311,-87.79804882,"241 N KENILWORTH AVE",None,1162,7500,1952,Single-Family,1
16071150380000,206,27070,128000,41.89190973,-87.79982506,"250 FOREST AVE",None,3411,11305,1889,Single-Family,1
16071150400000,EX,27070,0,,,"151 ONTARIO ST",,,,,,
